username,rank,track_name,artist
changyun,5,Baller,Abor & Tynna
changyun,6,Thoroughfare,Ethel Cain
changyun,7,Hallucination,Sissal
changyun,8,Voyage,ZOË MË
changyun,9,AMERICA HAS A PROBLEM,Beyoncé
changyun,10,CUFF IT,Beyoncé
Katiefayce,1,Do I Wanna Know? - BBC Live Lounge,Hozier
Katiefayce,2,Absence Persistent,Invent Animate
Katiefayce,3,Descending,Sleep Token
Katiefayce,4,Do I Wanna Know? - Live At the BBC,Hozier
Katiefayce,5,Would That I,Hozier
Katiefayce,6,Sea Shanty 2,Jagex Audio Team
Katiefayce,7,smiling at ur text,Sad Alex
Katiefayce,8,ur not an asshole,Sad Alex
Katiefayce,9,Euphoria,Silent Planet
Katiefayce,10,Is It Really You?,Sleep Token
maiconslavieiro,1,Emergence,Sleep Token
maiconslavieiro,2,Keep Sweet,Spiritbox
maiconslavieiro,3,Crystal Roses,Spiritbox
maiconslavieiro,4,Fata Morgana,Spiritbox
maiconslavieiro,5,Black Rainbow,Spiritbox
maiconslavieiro,6,Tsunami Sea,Spiritbox
maiconslavieiro,7,A Haven With Two Faces,Spiritbox
maiconslavieiro,8,"No Loss, No Love",Spiritbox
maiconslavieiro,9,Perfect Soul,Spiritbox
maiconslavieiro,10,Ride The Wave,Spiritbox
Hamadsversion,1,My guy (Corporate shuffle),Underscores
Hamadsversion,2,Geez louise (with henhouse!),underscores
Hamadsversion,3,Locals (Girls like us) [with gabby start],Underscores
Hamadsversion,4,Dancing with your eyes closed,Jane Remover
Hamadsversion,5,loml,Taylor Swift
Hamadsversion,6,Dry land 2001,Underscores
Hamadsversion,7,Stupid (Can’t run from the urge),underscores
Hamadsversion,8,Something to Believe,Weyes Blood
Hamadsversion,9,Titanic Rising,Weyes Blood
Hamadsversion,10,Video,Jane Remover
lunariarex,1,Black Rainbow,Spiritbox
lunariarex,2,Absence Persistent,Invent Animate
lunariarex,3,False Meridian,Invent Animate
lunariarex,4,Immolation of Night,Invent Animate
lunariarex,5,Labyrinthine,Invent Animate
lunariarex,6,Purity Weeps,Invent Animate
lunariarex,7,Reverie,Invent Animate
lunariarex,8,Shade Astray,Invent Animate
lunariarex,9,Void Surfacing,Invent Animate
lunariarex,10,Without a Whisper,Invent Animate
vapowrave,1,Invisible,Duran Duran
vapowrave,2,Travellin' Man (Remastered),DJ Honda
vapowrave,3,21 Questions,50 Cent
vapowrave,4,Do My Thing,Busta Rhymes
vapowrave,5,Me and the Birds,Duster
vapowrave,6,Falling On Deaf Ears,Hail the Sun
vapowrave,7,"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack",Teriyaki Boyz
vapowrave,8,Degausser,Brand New
vapowrave,9,Grinder,Frank Klepacki
vapowrave,10,Hell March,Frank Klepacki
warjhybrid1,1,Life During Wartime (live),Talking Heads
warjhybrid1,2,Andrea,Abby Holliday
warjhybrid1,3,Immortal,Abby Holliday
warjhybrid1,4,Steve Martin,Abby Holliday
warjhybrid1,5,Every Other Way - Josh Gabriel Remix,BT
warjhybrid1,6,The Unbreakable,BT
warjhybrid1,7,NOW IT'S GONE - ELY OAKS REMIX,In Parallel
warjhybrid1,8,WASH,Jon Bellion
warjhybrid1,9,Mindless and Broken (MJ Cole mix),3rd Core
warjhybrid1,10,at some point you’ll have to be angry at all of this,Abby Holliday
chivalryintro,1,Zjerm,Shkodra Elektronike
chivalryintro,2,One Night In Bangkok - Radio Edit / From “Chess” / Remastered 2016,Murray Head
chivalryintro,3,Bird of Pray - Vidbir 2025,Ziferblat
chivalryintro,4,Guaranteed,Level 42
chivalryintro,5,"Heaven In My Hands - 7"" Version",Level 42
chivalryintro,6,"Something About You - 7"" Version",Level 42
chivalryintro,7,(nendest) narkootikumidest ei tea me (küll) midagi,5MIINUST
chivalryintro,8,Koha Ndryshk,Eugent Bushpepa
chivalryintro,9,MALL,Eugent Bushpepa
chivalryintro,10,SURPRISE-DRIVE,Mitsuru Matsuoka EARNEST DRIVE
bananaabread,1,Petty Problems,"Defiance, Ohio"
bananaabread,2,Secrets (Your Fire),Magdalena Bay
bananaabread,3,Stairway to the Stars,Bill Evans
bananaabread,4,Calling Old Friends,"Defiance, Ohio"
bananaabread,5,Enough,"Defiance, Ohio"
bananaabread,6,The New World Order,"Defiance, Ohio"
bananaabread,7,Trip and Stumble,"Defiance, Ohio"
bananaabread,8,Slide,George Clanton
bananaabread,9,Thos Moser,gupi
