username,rank,track_name,artist
levialthan,6,Beating Down Yo Block,Monaleo
levialthan,7,Charmander,Aminé
levialthan,8,Colors,Aminé
levialthan,9,Compensating (feat. Young Thug),Aminé
levialthan,10,DR. WHOEVER,Aminé
ker0senedream,1,CRUSH,Thornhill
ker0senedream,2,under the knife,Thornhill
ker0senedream,3,Doubt (Demo),twenty one pilots
ker0senedream,4,The Remedy,Polaris
ker0senedream,5,Obsession,Thornhill
ker0senedream,6,Cure,ERRA
ker0senedream,7,Inamorata,Northlane
ker0senedream,8,Nova,Northlane
ker0senedream,9,My Worst Intervention Wasn't My Own,Rasura
ker0senedream,10,Departures,Silverstein
changyun,1,SMH,Jae Stephens
changyun,2,Headphones On,Addison Rae
changyun,4,Besties,"Black Country, New Road"
changyun,5,Second Hand News - 2004 Remaster,Fleetwood Mac
changyun,6,Indigo Promise,KIMSEJEONG
changyun,7,Mercurial World,Magdalena Bay
changyun,8,Oceans & Engines,Niki
changyun,9,Swicy,Unis
changyun,10,'Til We Meet Again,aespa
Katiefayce,1,bad friend,Sad Alex
Katiefayce,2,smiling at ur text,Sad Alex
Katiefayce,3,swimming pools,Sad Alex
Katiefayce,4,ur not an asshole,Sad Alex
Katiefayce,5,Funeral Derangements,Ice Nine Kills
Katiefayce,6,"Swim, Swim",Linying
Katiefayce,7,hot priest,Sad Alex
Katiefayce,8,Emergence,Sleep Token
Katiefayce,9,Don’t Look Away,The Plot in You
Katiefayce,10,BITE BACK,Vana
maiconslavieiro,1,You,Majid Jordan
maiconslavieiro,2,Cruel Intentions,JMSN
maiconslavieiro,3,BELIEVE IT,PARTYNEXTDOOR
maiconslavieiro,4,Love on the Brain,Rihanna
maiconslavieiro,5,Private,Russ
maiconslavieiro,6,High,Tory Lanez
maiconslavieiro,7,Pink,Two Feet
maiconslavieiro,8,Listen,11:11
maiconslavieiro,9,Ultimatum,Always Never
maiconslavieiro,10,The River,Andrew Prahlow
Hamadsversion,1,Experimental skin,Jane Remover
Hamadsversion,2,TURN UP OR DIE,Jane Remover
Hamadsversion,3,Dancing with your eyes closed,Jane Remover
Hamadsversion,4,Psychoboost feat danny brown,Jane Remover
Hamadsversion,5,Professional Vengeance,Jane Remover
Hamadsversion,6,TWICE REMOVED,Jane Remover
Hamadsversion,7,JRJRJR,Jane Remover
Hamadsversion,8,Dreamflasher,Jane Remover
Hamadsversion,9,Fadeoutz,Jane Remover
Hamadsversion,10,Star people,Jane Remover
lunariarex,1,FIGHT ME,Xdinary Heroes
lunariarex,2,Beautiful Life,Xdinary Heroes
lunariarex,3,Diamond,Xdinary Heroes
lunariarex,4,George the Lobster,Xdinary Heroes
lunariarex,5,Don't Let Me Down (feat. Cat Martin),Blackmill
lunariarex,6,Embrace,Blackmill
lunariarex,7,Let It Be (Feat. Veela),Blackmill
lunariarex,8,Love At Heart,Blackmill
lunariarex,9,Lucid Truth,Blackmill
lunariarex,10,Miracle,Blackmill
vapowrave,1,Ain't No Thang,OutKast
vapowrave,2,Xxplosive,Dr. Dre
vapowrave,3,21 Questions,50 Cent
vapowrave,4,Gangsta Nation,Westside Connection
vapowrave,5,ATLiens,OutKast
vapowrave,6,Rosa Parks,OutKast
vapowrave,7,"So Fresh, So Clean",OutKast
vapowrave,8,$outh $ide $uicide,$uicideboy$
vapowrave,9,ANTARCTICA,$uicideboy$
vapowrave,10,"Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) - LP Mix",A Tribe Called Quest
warjhybrid1,1,G2G,Skrillex
warjhybrid1,2,Into The Dawn - James Holden Mix,Accadia
warjhybrid1,3,A Little Bit,Disclosure
warjhybrid1,4,Brown Eyes,Disclosure
warjhybrid1,5,Right Behind You Baby,Ray Smith
warjhybrid1,6,MIRCHI TEST,Skrillex
warjhybrid1,7,SQUISHY CLIP,Skrillex
warjhybrid1,8,Torture Me (feat. Skrillex),100 gecs
warjhybrid1,9,Into The Night (Original Instrumental),4 Strings
warjhybrid1,10,Malfunktion,Adapter
chivalryintro,1,One Night in Bangkok,Murray Head
chivalryintro,2,Zjerm,Shkodra Elektronike
chivalryintro,3,Bara Bada Bastu,Kaj
chivalryintro,4,SURPRISE-DRIVE,Mitsuru Matsuoka EARNEST DRIVE
chivalryintro,5,MALL,Eugent Bushpepa
chivalryintro,6,"Heaven In My Hands - 7"" Version",Level 42
chivalryintro,7,Switch On!,Anna Tsuchiya
chivalryintro,8,Origami,Artem Valter
chivalryintro,9,Look Away,Big Country
chivalryintro,10,Sotterraneo,Bluvertigo
bananaabread,1,Road Signs Always Look Better Looking Over Your Shoulder,"Defiance, Ohio"
bananaabread,2,Carta De Amor,Egberto Gismonti
bananaabread,3,Lôro,Egberto Gismonti
bananaabread,4,L.A.,Elliott Smith
bananaabread,5,Miss,Hana Stretton
bananaabread,6,Batty boyz,MF DOOM
bananaabread,7,money machine,100 gecs
bananaabread,8,"Peace, Prosperity & Paper",A Tribe Called Quest
bananaabread,9,happy ever after,aldn & midwxst
bananaabread,10,Gretel,Alex G
jace-ch,1,Todo Terreno,Omar Varela
jace-ch,2,Pretty When You Cry,Lana Del Rey
jace-ch,3,Boys,Beach Bunny
jace-ch,4,Colorblind,Beach Bunny
jace-ch,5,Painkiller,Beach Bunny
jace-ch,6,MORE +,dabow
jace-ch,7,April,Beach Bunny
jace-ch,8,Cuffing Season,Beach Bunny
jace-ch,9,Good Girls (Don’t Get Used),Beach Bunny
jace-ch,10,Promises,Beach Bunny
wertee34,1,Fake Plastic Trees,Radiohead
wertee34,2,Untitled,Interpol
wertee34,3,ANDY,Skrillex
wertee34,4,SLICKMAN,Skrillex
wertee34,5,SQUISHY CLIP,Skrillex
wertee34,6,THINGS I PROMISED,Skrillex
wertee34,7,Hold On,Skrillex
wertee34,8,SPITFIRE,Skrillex and HAWAII SLIM
wertee34,9,LOOK AT YOU,Skrillex and Jónsi
wertee34,10,RECOVERY,Skrillex and Space Laces
seulementvous,1,Hold Me,PearlBlade
seulementvous,3,One Trick Pony,deadmau5
seulementvous,4,My will - Original Mix,Dream
seulementvous,5,What You Waiting For?,Gwen Stefani
seulementvous,6,Memories,Netzwerk
seulementvous,7,Que veux-tu - Madeon Remix - Bonus Track,Yelle
seulementvous,8,Lost Boys,Death Grips
seulementvous,9,365 featuring shygirl,Charli xcx
seulementvous,10,peggy,Ceechynaa
JohnCross_,1,small foreign faction,Haley Blais
JohnCross_,2,The Return,Lightning Bug
JohnCross_,3,Jeremy's Wedding (Wilds),Andy Shauf
JohnCross_,4,dandelion,Ariana Grande
JohnCross_,5,Sunglasses,"Black Country, New Road"
JohnCross_,6,Drift,CD Ghost
JohnCross_,7,Agora Hills,Doja Cat
JohnCross_,8,Lost In A Dream,Foxwarren
JohnCross_,9,puppy,Glass Beach
JohnCross_,10,Good Heart,Indigo De Souza
wahoo650,1,Bill's Mom Likes to Fuck,A Minor Forest
wahoo650,2,MGGDA,Cane Hill
wahoo650,3,5:55,Charlotte Gainsbourg
wahoo650,4,A Flag To Wave,Currents
wahoo650,5,Give You My Love,Dances
wahoo650,6,Counterfeit Recollections,fallfiftyfeet
wahoo650,7,The Kingsport Curse,fallfiftyfeet
wahoo650,8,"GLITCH N ASS [Feat. Dastardly Kids, Cheapskate Skutta, Sonny Dulphi]",Hitech
wahoo650,9,Water & Time,Rivers of Nihil
wahoo650,10,Conflicted Mood,Superheaven
SnowMexican94,1,~mAntras~,Alien Ant Farm
SnowMexican94,2,Everything She Wants,Alien Ant Farm
SnowMexican94,3,Fade,Alien Ant Farm
SnowMexican94,4,Glasses,Alien Ant Farm
SnowMexican94,5,Last dAntz,Alien Ant Farm
SnowMexican94,6,No. 1,Alien Ant Farm
SnowMexican94,7,Prosperous Futures,Alien Ant Farm
SnowMexican94,8,So Cold,Alien Ant Farm
SnowMexican94,9,Storms Over,Alien Ant Farm
SnowMexican94,10,The Wrong Things,Alien Ant Farm
dukehightop,1,Popular,Ariana Grande
dukehightop,2,Defying Gravity (feat. Ariana Grande),Cynthia Erivo
dukehightop,3,Alone (Four Tet Remix),The Cure
dukehightop,4,I’m Not That Girl,Cynthia Erivo
dukehightop,5,The Wizard And I (feat. Michelle Yeoh),Cynthia Erivo
dukehightop,6,One Short Day (feat. Michael McCorry Rose),"Cynthia Erivo, Ariana Grande, Kristin Chenoweth & Idina Menzel"
dukehightop,7,Real Love Baby,Father John Misty
dukehightop,8,Teenage Birdsong,Four Tet
dukehightop,9,Just Like Heaven,The Cure
dukehightop,10,Just Say Yes,The Cure
neokid0298,1,No Such Thing / Satellite Call - Live from the Hollywood Bowl,Sara Bareilles
neokid0298,2,Something in the Orange,Abbie Mac
neokid0298,3,Enough,Aisha Badru
neokid0298,4,You're Beautiful,Alex Goot
neokid0298,5,Notice Me,Alexa Ray Joel
neokid0298,6,Keep My Memory,Alexis Raeana
neokid0298,7,The Way You Roll,Alisan Porter
neokid0298,8,Way Way Back,Aly & AJ
neokid0298,9,Adore - Piano Unplugged,Amy Shark
neokid0298,10,Losing My Mind,Anika Joshi
lhommewalk,1,Childlike Things,FKA twigs
lhommewalk,2,Girl with One Eye,Florence + the Machine
lhommewalk,3,HOT,LE SSERAFIM
lhommewalk,5,Fourth of July,Sufjan Stevens
lhommewalk,6,Time Machine,Willow
lhommewalk,7,bloodstains,100 gecs
lhommewalk,8,Hollywood Baby,100 gecs
lhommewalk,9,FLY,Aka Kelzz
lhommewalk,10,Mango,Aka Kelzz
covrfeyrac,1,HEATED,Beyoncé
covrfeyrac,2,Tell me I never knew that,Caroline
covrfeyrac,3,The Giver,Chappell Roan
covrfeyrac,4,Helena,My Chemical Romance
covrfeyrac,6,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA
covrfeyrac,7,Maya Koshas,Acasia Movement
covrfeyrac,8,Diet Pepsi,Addison Rae
covrfeyrac,9,Headphones On,Addison Rae
covrfeyrac,10,Something Good,alt-J
alexownzyou,1,GTFOMF,Kent Osborne
alexownzyou,2,DEADMEAT (feat. Kent Osborne),WHOKILLEDXIX
alexownzyou,3,Black Magic Bankai,Kent Osborne
alexownzyou,4,Confession,Kent Osborne
alexownzyou,5,Emotional Masochist,Kent Osborne
alexownzyou,6,MISFIT,Kent Osborne
alexownzyou,7,Shallow Grave,Kent Osborne
alexownzyou,8,FEEL THE RAGE,Snails
alexownzyou,9,NOSFERATU,Dizasterpiece
alexownzyou,10,EASE,Kent Osborne
n3k0punk,1,FINLANDIA,KOTOLGA
n3k0punk,2,JARA MNIE TO,KOTOLGA
n3k0punk,3,RED TEAR DROP GOTH CRIP,SICKBOYRARI
n3k0punk,4,In Da Party,smokedope2016
n3k0punk,5,XOXO (Kisses Hugs),6arelyhuman
n3k0punk,6,Robins at 13,Adamn Killa
n3k0punk,7,SKELETON PRINCESS,ANGELMANE
n3k0punk,8,CALM DES FCKDOWN,Buckshot
n3k0punk,9,MASTURBATION.,DADAROMA
n3k0punk,10,Oboreru sakana,DADAROMA
franzmesmer,1,Anything,Sprain
franzmesmer,2,Rough Sleeper,Burial
franzmesmer,3,Below the House,Planning for Burial
franzmesmer,4,Cooking No More,Duster
franzmesmer,5,29 August 2012,Planning for Burial
franzmesmer,6,Untitled 13,Der Blutharsch
franzmesmer,7,Blanket Season pt. II,Planning for Burial
franzmesmer,8,Waiting on the Deathconsciousness Reissue CD To Come Out On Tumult,Planning for Burial
franzmesmer,9,A Flowing Field of Green,Planning for Burial
franzmesmer,10,Whiskey and Wine,Planning for Burial
Boodwazer,1,Aumgn,Can
Boodwazer,2,Bring Me Coffee or Tea,Can
Boodwazer,3,Halleluhwah,Can
Boodwazer,4,Mushroom,Can
Boodwazer,5,Oh Yeah,Can
Boodwazer,6,Paperhouse,Can
Boodwazer,7,Peking O,Can
Boodwazer,8,For Your Own Good,Turisas
Boodwazer,9,Greek Fire,Turisas
Boodwazer,10,Into The Free,Turisas
toke81,1,Barbarianism (Slowed Version),PEELINGFLESH
toke81,2,Concrete Curb Enforcement (Slowed Version) (feat. Cold Hard Truth),PEELINGFLESH
toke81,3,Creepin' Out The Cut (Slowed Version) (feat. Liturgy),PEELINGFLESH
toke81,4,Full of Lead (Interlude) (Slowed Version) (feat. DJ MRD),PEELINGFLESH
toke81,5,Intro (Slowed Version),PEELINGFLESH
toke81,6,Outro (Slowed Version),PEELINGFLESH
toke81,7,Perc 3000 (Slowed Version) (feat. DJ MRD),PEELINGFLESH
toke81,8,Shoot 2 Kill (Slowed Version),PEELINGFLESH
toke81,9,"Skin Blunt (Interlude, Pt. 2) (Slowed Version)",PEELINGFLESH
toke81,10,The Fuckening (Slowed Version),PEELINGFLESH
twinpeaking,1,Bubble Pop Electric,Gwen Stefani
twinpeaking,3,angel dust,gjallarhornit
twinpeaking,4,Tainted Love,Soft Cell
twinpeaking,5,Race,Alex G
twinpeaking,6,Treehouse,Alex G
twinpeaking,7,Velvet Ring - 2023 Remaster,Big Thief
twinpeaking,8,Hypochondriac,Elita
twinpeaking,9,I Can Fix Him,GEZEBELLE GABURGABLY
twinpeaking,10,Inside Her,GEZEBELLE GABURGABLY
phxlpxo,1,MANI-PEDI,Agatka Iskra
phxlpxo,2,Live In My Truth (feat. BC Kingdom & LIZ),Sophie
phxlpxo,3,Why Lies (feat. BC Kingdom & LIZ),Sophie
phxlpxo,4,SEX TALK,Agatka Iskra
phxlpxo,5,DEBUT SONG,KiiiKiii
