username,track_name,artist,rank,playcount
bananaabread,LIQUID,BROCKHAMPTON,7,1
bananaabread,STUPID,BROCKHAMPTON,8,1
bananaabread,ZIPPER,BROCKHAMPTON,9,1
bananaabread,I Got Somebody Else,Changing Faces,10,1
jace-ch,Todo Terreno,Omar Varela,1,10
jace-ch,MORE +,dabow,2,4
jace-ch,April,Beach Bunny,3,2
jace-ch,Boys,Beach Bunny,4,2
jace-ch,POPLIKE,dabow,5,2
jace-ch,A FACE LIKE YOURS,KAIFU,6,2
jace-ch,Pretty When You Cry,Lana Del Rey,7,2
jace-ch,Stratosphere,Subtronics,8,2
jace-ch,LONGMONT,Acyan,9,1
jace-ch,fabric,Alicks,10,1
wertee34,Fake Plastic Trees,Radiohead,1,10
wertee34,Untitled,Interpol,2,8
wertee34,ANDY,Skrillex,3,7
wertee34,Hold On,Skrillex,4,7
wertee34,SLICKMAN,Skrillex,5,7
wertee34,SQUISHY CLIP,Skrillex,6,7
wertee34,THINGS I PROMISED,Skrillex,7,7
wertee34,Black Star,Radiohead,8,6
wertee34,MORJA KAIJU VIP,Skrillex,9,6
wertee34,REDLINE DASH,Skrillex,10,6
seulementvous,Hold Me,PearlBlade,1,40
seulementvous,One Trick Pony,deadmau5,2,20
seulementvous,Timeless (Feat Playboi Carti),The Weeknd,3,11
seulementvous,My will - Original Mix,Dream,4,8
seulementvous,Memories,Netzwerk,5,8
seulementvous,Lost Boys,Death Grips,6,3
seulementvous,Que veux-tu - Madeon Remix - Bonus Track,Yelle,7,3
seulementvous,peggy,Ceechynaa,8,2
seulementvous,365 featuring shygirl,Charli xcx,9,2
seulementvous,Raise Your Weapon,deadmau5,10,2
JohnCross_,Drift,CD Ghost,1,3
JohnCross_,small foreign faction,Haley Blais,2,3
JohnCross_,Pressed,Alvvays,3,2
JohnCross_,Jeremy's Wedding (Wilds),Andy Shauf,4,2
JohnCross_,Sunglasses,"Black Country, New Road",5,2
JohnCross_,Lost In A Dream,Foxwarren,6,2
JohnCross_,A New Kind Of Love - Demo,Frou Frou,7,2
JohnCross_,puppy,Glass Beach,8,2
JohnCross_,Good Heart,Indigo De Souza,9,2
JohnCross_,Time To,Kelly Lee Owens,10,2
wahoo650,Bill's Mom Likes to Fuck,A Minor Forest,1,2
wahoo650,Impulse,Age of Apocalypse,2,2
wahoo650,MGGDA,Cane Hill,3,2
wahoo650,5:55,Charlotte Gainsbourg,4,2
wahoo650,A Flag To Wave,Currents,5,2
wahoo650,Give You My Love,Dances,6,2
wahoo650,The Fourth Stage: Bargaining,Mares of Thrace,7,2
wahoo650,ict,Oklou,8,2
wahoo650,Blood Sugar Sex Magik,Red Hot Chili Peppers,9,2
wahoo650,Water & Time,Rivers of Nihil,10,2
SnowMexican94,~mAntras~,Alien Ant Farm,1,4
SnowMexican94,Everything She Wants,Alien Ant Farm,2,4
SnowMexican94,Fade,Alien Ant Farm,3,4
SnowMexican94,Glasses,Alien Ant Farm,4,4
SnowMexican94,Last dAntz,Alien Ant Farm,5,4
SnowMexican94,No. 1,Alien Ant Farm,6,4
SnowMexican94,Prosperous Futures,Alien Ant Farm,7,4
SnowMexican94,So Cold,Alien Ant Farm,8,4
SnowMexican94,Storms Over,Alien Ant Farm,9,4
SnowMexican94,The Wrong Things,Alien Ant Farm,10,4
dukehightop,Metal From The Skies,Fred Deakin,1,3
dukehightop,Prologue - At The Century's End,Fred Deakin,2,3
dukehightop,Alone (Four Tet Remix),The Cure,3,3
dukehightop,Popular,Ariana Grande,4,2
dukehightop,From You (feat. Joji),Bonobo,5,2
dukehightop,Defying Gravity (feat. Ariana Grande),Cynthia Erivo,6,2
dukehightop,The Talented Mr. Tripley,DJ Koze,7,2
dukehightop,The Universe in a Nutshell,DJ Koze,8,2
dukehightop,Pure Love,DJ Koze & Damon Albarn,9,2
dukehightop,Der Fall,DJ Koze & Sophia Kennedy,10,2
neokid0298,No Such Thing / Satellite Call - Live from the Hollywood Bowl,Sara Bareilles,1,2
neokid0298,Something in the Orange,Abbie Mac,2,1
neokid0298,Pretend (Stripped),Abby Jane,3,1
neokid0298,Enough,Aisha Badru,4,1
neokid0298,You're Beautiful,Alex Goot,5,1
neokid0298,Keep My Memory,Alexis Raeana,6,1
neokid0298,Daffodils (Originals),Alicia Keys,7,1
neokid0298,The Way You Roll,Alisan Porter,8,1
neokid0298,Way Way Back,Aly & AJ,9,1
neokid0298,Adore - Piano Unplugged,Amy Shark,10,1
lhommewalk,Childlike Things,FKA twigs,1,3
lhommewalk,Girl with One Eye,Florence + the Machine,2,2
lhommewalk,Timebomb,Kylie Minogue,3,2
lhommewalk,Fourth of July,Sufjan Stevens,4,2
lhommewalk,bloodstains,100 gecs,5,1
lhommewalk,Hollywood Baby,100 gecs,6,1
lhommewalk,FLY,Aka Kelzz,7,1
lhommewalk,Mango,Aka Kelzz,8,1
lhommewalk,Memories,Aka Kelzz,9,1
lhommewalk,You and I,Alice Phoebe Lou,10,1
covrfeyrac,Sports car,Tate McRae,1,3
covrfeyrac,About You,The 1975,2,3
covrfeyrac,Diet Pepsi,Addison Rae,3,2
covrfeyrac,Headphones On,Addison Rae,4,2
covrfeyrac,Mendocino Rest (Forest),Asha Ward,5,2
covrfeyrac,HEATED,Beyoncé,6,2
covrfeyrac,Swells of Peace,Beyond Observable,7,2
covrfeyrac,Tell me I never knew that,Caroline,8,2
covrfeyrac,So Hot You're Hurting My Feelings,Caroline Polachek,9,2
covrfeyrac,End of Beginning,Djo,10,2
alexownzyou,FEEL THE RAGE,Snails,1,3
alexownzyou,DEADMEAT (feat. Kent Osborne),WHOKILLEDXIX,2,3
alexownzyou,NOSFERATU,Dizasterpiece,3,2
alexownzyou,Black Magic Bankai,Kent Osborne,4,2
alexownzyou,Confession,Kent Osborne,5,2
alexownzyou,GTFOMF,Kent Osborne,6,2
alexownzyou,MISFIT,Kent Osborne,7,2
alexownzyou,luvmeansdeath,SMRTDEATH,8,2
alexownzyou,What Happens If I Can't Check My Myspace When We Get There,Attack Attack!,9,1
alexownzyou,No Life Left,Bladee,10,1
n3k0punk,FINLANDIA,KOTOLGA,1,6
n3k0punk,JARA MNIE TO,KOTOLGA,2,3
n3k0punk,XOXO (Kisses Hugs),6arelyhuman,3,2
n3k0punk,Gorąca jak San Pedro,Cypis,4,2
n3k0punk,MASTURBATION.,DADAROMA,5,2
n3k0punk,Oboreru sakana,DADAROMA,6,2
n3k0punk,Risley Circus,DADAROMA,7,2
n3k0punk,SEX!!,DADAROMA,8,2
n3k0punk,Henna Merry Go Round,gulu gulu,9,2
